route_id,stop_name,stop_id,stop_sequence,stop_lat,stop_lon
M5,BIGNAMI,BIGNAMI,1,45.5267842010239,9.21218050788111
M5,PONALE,PONALE,2,45.5219945010245,9.20947360788156
M5,BICOCCA,BICOCCA,3,45.5147339010255,9.20536990788226
M5,CA GRANDA,CA GRANDA,4,45.5072425010265,9.20111030788298
M5,ISTRIA,ISTRIA,5,45.5016262010272,9.19792000788352
M5,MARCHE,MARCHE,6,45.4961456010279,9.19482360788404
M5,ZARA,ZARA,7,45.4926644010284,9.19260110788448
M5,ISOLA,ISOLA,8,45.4876083010289,9.19126340788434
M5,GARIBALDI FS,GARIBALDI FS,9,45.4836397010296,9.18674240788565
M5,MONUMENTALE,MONUMENTALE,10,45.4848147763397,9.17979312440481
M5,CENISIO,CENISIO,11,45.4874900006087,9.17194683918035
M5,GERUSALEMME,GERUSALEMME,12,45.4845217522064,9.16677778724863
M5,DOMODOSSOLA,DOMODOSSOLA,13,45.4816190261232,9.16226040292661
M5,TRE TORRI,TRE TORRI,14,45.478140184674,9.15667532734001
M5,PORTELLO,PORTELLO,15,45.4807995479255,9.15149944089912
M5,LOTTO M5,LOTTO M5,16,45.4797818727906,9.14366872151745
M5,SEGESTA,SEGESTA,17,45.4763587387451,9.13789399368297
M5,SAN SIRO IPPODROMO,SAN SIRO IPPODROMO,18,45.4762089724848,9.12901244641325
M5,SAN SIRO STADIO,SAN SIRO STADIO,19,45.4762588946168,9.11831543256738
M3,SAN DONATO,SAN DONATO,1,45.4292064010295,9.25623390785034
M3,ROGOREDO FS,ROGOREDO FS,2,45.4335862010304,9.23808910785825
M3,PORTO DI MARE,PORTO DI MARE,3,45.4371279010307,9.23031110786186
M3,CORVETTO,CORVETTO,4,45.4404109010309,9.22346950786506
M3,BRENTA,BRENTA,5,45.442810701031,9.2184814078674
M3,LODI T.I.B.B.,LODI T.I.B.B.,6,45.4467636010312,9.21081640787101
M3,PORTA ROMANA,PORTA ROMANA,7,45.4514341010313,9.20340020787463
M3,CROCETTA,CROCETTA,8,45.4565508010315,9.19510340787866
M3,MISSORI,MISSORI,9,45.4601086010316,9.18902710788159
M3,DUOMO M3,DUOMO M3,10,45.4639037177197,9.18861101005318
