"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","x_accessibilita_linea","x_ordinamento_linea"
"T1","AMAT_Milan_feed","1","greco - roserio","","0","","","","2","1"
"T2","AMAT_Milan_feed","2","bausan - negrelli","","0","","","","2","2"
"T3","AMAT_Milan_feed","3","cantu'/orefici - gratosoglio","","0","","","","2","3"
"T4","AMAT_Milan_feed","4","p.za castello - parco nord","","0","","","","1","4"
"T5","AMAT_Milan_feed","5","ospedale maggiore - ortica","","0","","","","2","5"
"T7","AMAT_Milan_feed","7","precotto - lagosta","","0","","","","2","6"
"T9","AMAT_Milan_feed","9","stz genova - stz centrale","","0","","","","1","7"
"T10","AMAT_Milan_feed","10","24 maggio - lunigiana","","0","","","","2","8"
"T12","AMAT_Milan_feed","12","(lav. via larga 19) cantu' - roserio","","0","","","","2","9"
"T14","AMAT_Milan_feed","14","lorenteggio - cim. maggiore","","0","","","","2","10"
"T15","AMAT_Milan_feed","15","rozzano via g. rossa - dogana m1 m3","","0","","","","1","11"
"T16","AMAT_Milan_feed","16","m.te velino - s.siro","","0","","","","2","12"
"T19","AMAT_Milan_feed","19","lambrate - castelli","","0","","","","2","13"
"T24","AMAT_Milan_feed","24","(lav. via larga 19) vigentino - dogana","","0","","","","2","14"
"T27","AMAT_Milan_feed","27","fontana - ungheria","","0","","","","2","15"
"T31","AMAT_Milan_feed","31","bicocca m5- cinisello b.","","0","","","","1","16"
"T33","AMAT_Milan_feed","33","lagosta - rimembranze di lambrate","","0","","","","2","17"
"B34","AMAT_Milan_feed","34","toffetti - q.re fatima","","3","","","","1","1"
"B35","AMAT_Milan_feed","35","molino dorino m1 - porretta","","3","","","","1","2"
"B38","AMAT_Milan_feed","38","corelli -  susa","","3","","","","1","3"
"B39","AMAT_Milan_feed","39","loreto - pitteri","","3","","","","1","4"
"B40","AMAT_Milan_feed","40","parco nord - bonola m1","","3","","","","1","5"
"B41","AMAT_Milan_feed","41","q.re bovisasca - fn bruzzano","","3","","","","1","6"
"B42","AMAT_Milan_feed","42","q.re bicocca - stz centrale m2 m3","","3","","","","1","7"
"B43","AMAT_Milan_feed","43","firenze - greco","","3","","","","1","8"
"B44","AMAT_Milan_feed","44","turro - c.na gobba","","3","","","","1","9"
"B45","AMAT_Milan_feed","45","stz. lambrate - san donato m3","","3","","","","1","10"
"B46","AMAT_Milan_feed","46","famagosta m2 - cantalupa","","3","","","","1","11"
"B47","AMAT_Milan_feed","47","bisceglie m1 - romolo m2","","3","","","","1","12"
"B48","AMAT_Milan_feed","48","m.te rosa - palazzolo","","3","","","","1","13"
"B49","AMAT_Milan_feed","49","lotto m1 m5 - tirana","","3","","","","1","14"
"B50","AMAT_Milan_feed","50","cairoli - lorenteggio","","3","","","","1","15"
"B51","AMAT_Milan_feed","51","zara m3 m5 -  cimiano m2","","3","","","","1","16"
"B52","AMAT_Milan_feed","52","q.re comasina - bicocca (universitï¿½)","","3","","","","1","17"
"B53","AMAT_Milan_feed","53","stz lambrate - sesto marelli m1","","3","","","","1","18"
"B54","AMAT_Milan_feed","54","stz lambrate - baracchini","","3","","","","1","19"
"B55","AMAT_Milan_feed","55","loreto - cim. lambrate","","3","","","","1","20"
"B56","AMAT_Milan_feed","56","q.re adriano - loreto","","3","","","","1","21"
"B57","AMAT_Milan_feed","57","q.to oggiaro - cairoli","","3","","","","1","22"
"B58","AMAT_Milan_feed","58","minghetti  - noale","","3","","","","1","23"
"B59","AMAT_Milan_feed","59","famagosta m2 - lodovica","","3","","","","1","24"
"B60","AMAT_Milan_feed","60","l.go augusto - zara m3 m5","","3","","","","1","25"
"B61","AMAT_Milan_feed","61","napoli - l.go murani","","3","","","","1","26"
"B62","AMAT_Milan_feed","62","sire raul - lodi","","3","","","","1","27"
"B63","AMAT_Milan_feed","63","de angeli m1 - muggiano","","3","","","","1","28"
"B64","AMAT_Milan_feed","64","molinetto - bonola m1","","3","","","","1","29"
"B65","AMAT_Milan_feed","65","p.ta romana - abbiategrasso m2","","3","","","","1","30"
"B66","AMAT_Milan_feed","66","cadore - peschiera b.","","3","","","","1","31"
"B67","AMAT_Milan_feed","67","baracca - scanini","","3","","","","1","32"
"B68","AMAT_Milan_feed","68","bonola m1 - bergognone","","3","","","","1","33"
"B69","AMAT_Milan_feed","69","m.dorino (ramo gallaratese) - firenze","","3","","","","1","34"
"B70","AMAT_Milan_feed","70","cim. bruzzano - maciachini m3","","3","","","","1","35"
"B71","AMAT_Milan_feed","71","famagosta m2 - romolo m2","","3","","","","1","36"
"B73","AMAT_Milan_feed","73","duomo m1 m3 - aeroporto","","3","","","","1","37"
"B74","AMAT_Milan_feed","74","cantore - famagosta m2","","3","","","","1","38"
"B75","AMAT_Milan_feed","75","pitteri - c.na gobba m2","","3","","","","1","39"
"B76","AMAT_Milan_feed","76","bisceglie m1 - madonna della provvidenza","","3","","","","1","40"
"B77","AMAT_Milan_feed","77","p.le lodi - poasco","","3","","","","1","41"
"B78","AMAT_Milan_feed","78","bisceglie m1 - govone","","3","","","","1","42"
"B79","AMAT_Milan_feed","79","gratosoglio - lodovica (transita in c.na basmetto)","","3","","","","1","43"
"B80","AMAT_Milan_feed","80","de angeli m1 - molino dorino m1","","3","","","","1","44"
"B81","AMAT_Milan_feed","81","stz. lambrate - sesto marelli","","3","","","","1","45"
"B82","AMAT_Milan_feed","82","zara m3 m5 - q.re bovisasca","","3","","","","1","46"
"B83","AMAT_Milan_feed","83","comasina m3 - cï¿½ granda","","3","","","","1","47"
"B84","AMAT_Milan_feed","84","s. donato m3 - augusto","","3","","","","1","48"
"B86","AMAT_Milan_feed","86","ca' granda m5 - cna gobba m2","","3","","","","1","49"
"B87","AMAT_Milan_feed","87","villa san giovanni m1 - stz centrale","","3","","","","1","50"
"B88","AMAT_Milan_feed","88","rogoredo fs m3 - ungheria","","3","","","","1","51"
