route_id,stop_name,stop_id,stop_sequence,stop_lat,stop_lon
T9,stazione centrale m2 m3,11923,1,45.4869978630769,9.20277672045857
T9,via filzi via pirelli,15529,2,45.4842249064654,9.20011976706521
T9,via filzi via adda,11879,3,45.4831148921049,9.19941078708611
T9,p.za s. gioachimo,12991,4,45.4814609463724,9.19807882565433
T9,v.le monte santo,11863,5,45.4797369226096,9.19482785041019
T9,repubblica m3,17436,6,45.4779729484842,9.19768184393929
T9,v.le vittorio veneto,11882,7,45.4767429882315,9.200348804051
T9,oberdan,18120,8,45.4742560738218,9.20577052807713
T9,v.le piave,11855,9,45.4722060375594,9.20652676197893
T9,p.za tricolore,12130,10,45.4682360837099,9.20688476544931
T9,v.le premuda,12093,11,45.465459133857,9.20717277126418
T9,p.za cinque giornate,12091,12,45.4627621564407,9.2074778131042
T9,v.le monte nero via spartaco,12088,13,45.4599591972724,9.20726778411052
T9,v.le monte nero via bergamo,11825,14,45.4574152135509,9.20542586931836
T9,v.le monte nero via pier lombardo,11782,15,45.4552702450638,9.20426089178549
T9,p.ta romana m3,11773,16,45.4513962664171,9.20241794317137
T9,v.le sabotino,11772,17,45.4509842638908,9.20052997175267
T9,via ripamonti v.le sabotino,11767,18,45.4509802466478,9.19711898761297
T9,v.le bligny,11753,19,45.4509852583448,9.19440003626035
T9,via bocconi,11471,20,45.4509822432453,9.19060208558409
T9,porta lodovica,11460,21,45.4517802276264,9.18711312846187
T9,v.le col di lana,11452,22,45.452138235023,9.18346815182067
T9,p.za ventiquattro maggio,17559,23,45.4524041894855,9.17959821044041
T9,via vigevano v.le gorizia,11199,24,45.4527502071882,9.17624923820362
T9,p.le cantore,11192,25,45.454997152051,9.17274028698906
T9,p.ta genova m2,11181,26,45.4535581445273,9.16978532380795
T7,precotto (int.deposito),15646,1,45.5178626024757,9.23290217435261
T7,anassagora,15874,2,45.5147856489961,9.23149020912402
T7,parmenide,15647,3,45.5139466758169,9.22752222903556
T7,precotto m1,15648,4,45.5136086524979,9.22465631008104
T7,l.go mattei,15294,5,45.5140475824537,9.2210843349316
T7,arcimboldi ateneo nuovo,15292,6,45.5157185773825,9.21372741996636
T7,greco,15290,7,45.5133675932973,9.21388544464774
T7,universita' bicocca scienza,15288,8,45.5137325969746,9.21127647979684
T7,v.le rodi (bicocca m5),12281,9,45.5150165828622,9.20669650646638
T7,bicocca m5,17158,10,45.5149215486945,9.20512155739588
T7,v.le testi via s. marcellina,11986,11,45.5116376072507,9.20326356080949
T7,v.le testi via s. marcellina,17303,12,45.5116645728909,9.20396458400356
T5,ortica,12678,1,45.4714071613076,9.23782538221839
T5,via amadeo via s. benigno,12676,2,45.4711391547611,9.23661139836835
T5,via amadeo via paladini,12461,3,45.4710111101932,9.2336693959817
T5,via b. angelico via aselli,12450,4,45.4709811337786,9.23068044005646
T5,via b. angelico via colombo,12437,5,45.4709571205968,9.22684751361401
T5,p.za ferravilla,12422,6,45.470940086376,9.22428153710862
T5,p.za aspari,12412,7,45.4716810827821,9.22184559791726
T5,p.za ascoli,12168,8,45.4730260782517,9.21806463319082
T5,p.za adelaide di savoia,12154,9,45.4730320518035,9.21531466626877
T5,p.za otto novembre,12141,10,45.4746320277622,9.21140269171232
T5,p.ta venezia v.le tunisia,12970,11,45.4764730111725,9.20739072874187
T5,v.le tunisia,11887,12,45.4784499734366,9.20307275874837
T5,p.za cincinnato,11892,13,45.4799289672622,9.20409670776781
T5,via vitruvio,12172,14,45.4821619344192,9.20649169512411
T5,stazione centrale p.za duca d'aosta m2 m3,11890,15,45.4846348838559,9.20259573380986
T5,stazione centrale m2 m3,11915,16,45.48686887957,9.20207669497161
T5,stazione centrale via tonale,11930,17,45.4882018674076,9.20347871385857
T5,v.le lunigiana,11938,18,45.4914478458019,9.20553463076684
T5,v.le lunigiana via gioia,15612,19,45.4924148188491,9.20358071311584
T5,p.za carbonari,11910,20,45.494814776391,9.19747671100822
T5,marche m5,11903,21,45.4959197609264,9.19501674201892
T5,v.le zara via laurana,11948,22,45.4989427086075,9.1967547256998
T5,istria m5,11956,23,45.5018496728659,9.19838767713695
T5,v.le testi via dolcebuono,11961,24,45.5040416512645,9.19960966645881
T5,ca' granda m5,11974,25,45.5066486202228,9.19990862620985
T5,v.le ca' granda v.le suzzani,11968,26,45.5070376557213,9.19831065400786
T5,v.le ca' granda via val furva,11964,27,45.5077496131152,9.1954257173708
T5,v.le ca' granda via cherasco,11672,28,45.5084845985815,9.19226273296045
T5,ospedale maggiore (niguarda),15412,29,45.5089475767787,9.1904037399218
T5,ospedale maggiore (niguarda),17142,30,45.5085475860434,9.18976077990994
T4,niguarda (parco nord),15581,1,45.5248594153103,9.19228567317219
T4,cascina california,15429,2,45.5216104288096,9.19208768160705
T4,niguarda nord,15397,3,45.5188304916664,9.191914691535
T4,niguarda centro,15395,4,45.5144475231877,9.19121073552645
T4,girola,15393,5,45.5111495625305,9.19066773493881
T4,ospedale maggiore (niguarda),15391,6,45.5085835686789,9.18941676399766
T4,nizza,15389,7,45.5030326698212,9.1889627753846
T4,valassina,15387,8,45.5010376517009,9.18810480579786
T4,maciachini m3,15385,9,45.4982496980867,9.18555488251316
T4,via farini v.le stelvio,11618,10,45.4948307207635,9.18536288812421
T4,via farini via alserio,11614,11,45.4916017823239,9.18398794907195
T4,via farini via valtellina,11609,12,45.4890537874859,9.18291094489147
T4,via farini via ferrari,11587,13,45.4851498059787,9.18185200114683
T4,p.le baiamonti,11577,14,45.4831068603367,9.18152799623956
T4,v.le montello,11574,15,45.4802468870304,9.18104002263016
T4,p.za lega lombarda,11572,16,45.4787219018947,9.18074405253813
T4,arena,11532,17,45.4753719554926,9.18139000343162
T4,lanza m2,11541,18,45.471997998978,9.18204909363292
T4,p.za castello (cairoli m1),16961,19,45.4693709903127,9.18174907739829
T4,foro buonaparte via ricasoli,17826,20,45.4681201544205,9.17943878471781
T33,rimembranze di lambrate,12717,1,45.4826850381575,9.24140229150796
T33,via valvassori peroni,12704,2,45.4814590225758,9.23678336125063
T33,via bassini via golgi,12698,3,45.4805530316524,9.23451936728323
T33,via bassini via ponzio,12499,4,45.4793690575707,9.23026942098273
T33,p.za leonardo da vinci (politecnico),12490,5,45.4793419927099,9.22674347185483
T33,via pascoli p.za l. da vinci,12486,6,45.4771250855873,9.22559551298135
T33,v.le romagna via pascoli,12431,7,45.4763590842119,9.22420551600306
T33,p.za carlo erba,12418,8,45.4753100536326,9.22164654432979
T33,p.za ascoli,12169,9,45.4738320937581,9.21798159741303
T33,p.za adelaide di savoia,12154,10,45.4730320518035,9.21531466626877
T33,p.za otto novembre,12141,11,45.4746320277622,9.21140269171232
T33,p.ta venezia v.le tunisia,12970,12,45.4764730111725,9.20739072874187
T33,v.le tunisia,11887,13,45.4784499734366,9.20307275874837
T33,v.le vittorio veneto,11849,14,45.4769099961834,9.20113081189649
T33,repubblica m3,11877,15,45.4782059380898,9.19739884439542
